anonyme_Source,anonyme_Target,Weight
32923,32735,5
37925,86428,5
57278,99351,8
38925,86428,5
55720,93032,8
103116,109048,6
67820,47504,10
7133,61673,5
24272,5190,5
30836,86132,7
46093,86428,10
75588,107936,5
37854,7703,5
17152,41711,12
69866,96357,16
45001,12750,7
31738,109923,5
86414,103436,14
30052,38548,13
43006,43158,10
964,12511,5
23953,20278,9
101524,37088,9
46220,408,5
11470,12511,5
35619,12750,10
105744,93319,6
46380,6291,5
33314,37757,17
83104,82402,10
17870,4547,8
65003,5245,5
95095,37757,9
12317,19898,6
59449,5245,10
42421,62250,6
86921,12750,13
94911,38291,5
9122,48765,17
79544,23868,5
75458,23964,6
83329,103897,7
9484,51960,13
74555,85976,5
109054,23092,21
20631,62194,6
60303,86428,5
30181,71788,5
41072,96274,6
10188,102214,5
31540,36640,5
3661,55056,11
75718,102346,5
1260,53067,6
23573,19752,13
103839,35594,8
89977,33595,7
74488,40913,6
16378,35594,7
102463,4035,6
101085,105131,5
110783,79139,6
55910,43530,8
50711,50334,5
219,28425,5
6672,102346,5
2462,85645,6
31444,107208,8
1619,104530,7
102600,35594,9
19885,60923,10
94841,82319,9
48532,108590,5
39391,105458,9
20353,59097,6
83971,78398,7
20691,18310,6
46735,86428,28
73237,21425,5
33133,58461,6
93025,60682,8
42118,84624,8
27457,92595,5
99578,89602,6
51944,8533,13
11307,99351,11
84358,86428,5
46411,96714,5
4830,35805,6
5670,69436,8
97620,47859,12
9134,37757,7
106736,110672,11
9272,44960,7
84837,38860,7
78183,70974,9
102941,55457,8
9232,67821,7
10688,105038,6
42613,96357,8
32981,49206,5
5877,38184,8
55876,36796,8
47944,88488,5
99077,39419,9
62533,24605,6
7320,86428,9
99857,80890,6
17586,62789,9
